Timestamp: 0.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 804.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 805.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 806.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 807.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 808.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 809.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 810.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 811.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 812.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 813.00 sec, Peak Frequency: 29.61 Hz
